t,pressure_pa,altitude_m,filled
0.0,100780.25,45.451996,0
1.0,100780.0,45.472901,0
2.0,100781.0,45.389282,0
3.0,100784.5,45.096622,0
4.0,100792.25,44.448619,0
5.0,100803.25,43.528941,0
6.0,100817.5,42.337661,0
7.0,100833.0,41.042038,0
8.0,100846.25,39.934617,0
9.0,100856.75,39.057121,0
10.0,100865.0,38.367712,0
11.0,100871.0,37.866353,0
12.0,100875.25,37.511238,0
13.0,100878.5,37.239687,0
14.0,100880.75,37.051695,0
15.0,100882.25,36.926369,0
16.0,100883.75,36.801044,0
17.0,100884.25,36.759269,0
18.0,100885.5,36.654834,0
19.0,100887.0,36.529512,0
20.0,100888.25,36.425079,0
21.0,100886.75,36.550399,0
22.0,100886.5,36.571286,0
23.0,100886.75,36.550399,0
24.0,100887.25,36.508625,0
25.0,100887.5,36.487739,0
26.0,100887.75,36.466852,0
27.0,100887.75,36.466852,0
28.0,100888.25,36.425079,0
29.0,100889.25,36.341533,0
30.0,100889.5,36.320646,0
31.0,100887.25,36.508625,0
32.0,100879.5,37.156135,0
33.0,100870.0,37.949911,0
34.0,100857.5,38.994446,0
35.0,100844.0,40.122661,0
36.0,100828.5,41.41817,0
37.0,100812.5,42.755639,0
38.0,100796.5,44.093279,0
39.0,100780.0,45.472901,0
40.0,100765.5,46.685447,0
41.0,100752.75,47.751768,0
42.0,100743.25,48.546353,0
43.0,100736.25,49.131875,0
44.0,100731.25,49.550126,0
45.0,100727.25,49.884738,0
46.0,100724.0,50.156619,0
47.0,100722.0,50.323933,0
48.0,100720.25,50.470336,0
49.0,100718.75,50.595825,0
50.0,100717.0,50.742231,0
51.0,100716.5,50.784062,0
52.0,100717.25,50.721316,0
53.0,100717.25,50.721316,0
54.0,100715.75,50.846809,0
55.0,100715.5,50.867724,0
56.0,100714.25,50.972303,0
57.0,100714.25,50.972303,0
58.0,100712.0,51.160547,0
59.0,100706.5,51.620713,0
60.0,100701.75,52.018145,0
61.0,100696.25,52.478349,0
62.0,100692.5,52.792136,0
63.0,100690.5,52.959493,0
64.0,100688.5,53.126853,0
65.0,100687.5,53.210534,0
66.0,100686.5,53.294215,0
67.0,100686.25,53.315136,0
68.0,100685.0,53.419739,0
69.0,100684.75,53.44066,0
70.0,100684.25,53.482501,0
71.0,100683.5,53.545264,0
72.0,100683.75,53.524343,0
73.0,100683.25,53.566185,0
74.0,100683.0,53.587106,0
75.0,100682.75,53.608027,0
76.0,100680.5,53.796319,0
77.0,100674.5,54.298446,0
78.0,100668.75,54.779674,0
79.0,100662.75,55.281849,0
80.0,100658.75,55.616646,0
81.0,100655.25,55.909602,0
82.0,100653.5,56.056083,0
83.0,100651.25,56.244419,0
84.0,100650.5,56.307199,0
85.0,100650.25,56.328125,0
86.0,100649.25,56.411832,0
87.0,100648.75,56.453685,0
88.0,100649.5,56.390905,0
89.0,100648.0,56.516466,0
90.0,100647.5,56.55832,0
91.0,100646.5,56.642028,0
92.0,100646.25,56.662956,0
93.0,100642.5,56.976869,0
94.0,100633.75,57.70937,0
95.0,100623.75,58.546578,0
96.0,100612.25,59.509449,0
97.0,100602.0,60.367736,0
98.0,100594.75,60.97486,0
99.0,100589.25,61.435461,0
100.0,100584.75,61.812331,0
101.0,100580.5,62.168276,0
102.0,100578.0,62.377661,0
103.0,100576.75,62.482355,0
104.0,100576.25,62.524233,0
105.0,100575.0,62.628929,0
106.0,100574.5,62.670808,0
107.0,100573.25,62.775505,0
108.0,100573.0,62.796444,0
109.0,100572.25,62.859263,0
110.0,100571.25,62.943022,0
111.0,100571.75,62.901143,0
112.0,100576.75,62.482355,0
113.0,100585.5,61.749518,0
114.0,100596.75,60.807374,0
115.0,100611.0,59.614115,0
116.0,100627.5,58.232617,0
117.0,100644.75,56.78852,0
118.0,100662.25,55.323698,0
119.0,100680.25,53.81724,0
120.0,100699.0,52.248245,0
121.0,100718.25,50.637655,0
122.0,100737.75,49.006403,0
123.0,100757.5,47.354499,0
124.0,100777.5,45.681951,0
125.0,100797.0,44.051475,0
126.0,100816.25,42.442154,0
127.0,100832.75,41.062934,0
128.0,100845.75,39.976404,0
129.0,100856.5,39.078013,0
130.0,100863.75,38.472165,0
131.0,100869.25,38.01258,0
132.0,100873.75,37.636571,0
133.0,100877.25,37.344129,0
134.0,100879.5,37.156135,0
135.0,100881.25,37.00992,0
136.0,100882.5,36.905481,0
137.0,100883.0,36.863706,0
138.0,100884.75,36.717495,0
139.0,100885.5,36.654834,0
140.0,100884.5,36.738382,0
141.0,100885.75,36.633947,0
142.0,100886.5,36.571286,0
143.0,100887.0,36.529512,0
144.0,100887.5,36.487739,0
145.0,100887.0,36.529512,0
146.0,100881.75,36.968144,0
147.0,100875.5,37.490349,0
148.0,100870.0,37.949911,0
149.0,100865.0,38.367712,0
150.0,100862.0,38.618401,0
151.0,100859.0,38.869096,0
152.0,100857.25,39.015338,0
153.0,100855.0,39.203365,0
154.0,100853.5,39.328719,0
155.0,100852.5,39.412289,0
156.0,100851.25,39.516752,0
157.0,100850.75,39.558538,0
158.0,100849.0,39.704789,0
159.0,100848.75,39.725682,0
160.0,100848.5,39.746576,0
161.0,100848.0,39.788362,0
162.0,100847.5,39.830149,0
163.0,100848.5,39.746576,0
164.0,100848.0,39.788362,0
165.0,100847.25,39.851042,0
166.0,100843.25,40.185343,0
167.0,100835.25,40.853977,0
168.0,100825.25,41.689829,0
169.0,100812.0,42.797437,0
170.0,100797.25,44.030573,0
171.0,100782.0,45.305664,0
172.0,100766.25,46.622726,0
173.0,100754.0,47.647222,0
174.0,100744.75,48.420888,0
175.0,100737.5,49.027315,0
176.0,100731.5,49.529213,0
177.0,100727.75,49.842911,0
178.0,100725.0,50.072962,0
179.0,100722.75,50.26119,0
180.0,100720.0,50.49125,0
181.0,100718.75,50.595825,0
182.0,100717.75,50.679486,0
183.0,100718.0,50.65857,0
184.0,100717.25,50.721316,0
185.0,100717.25,50.721316,0
186.0,100717.0,50.742231,0
187.0,100716.25,50.804978,0
188.0,100716.5,50.784062,0
189.0,100716.0,50.825893,0
190.0,100716.0,50.825893,0
191.0,100713.5,51.03505,0
192.0,100710.0,51.327877,0
193.0,100703.5,51.871721,0
194.0,100696.75,52.436512,0
195.0,100692.25,52.813056,0
196.0,100688.25,53.147773,0
197.0,100685.5,53.377898,0
198.0,100683.0,53.587106,0
199.0,100681.5,53.712633,0
200.0,100680.25,53.81724,0
201.0,100678.25,53.984614,0
202.0,100678.25,53.984614,0
203.0,100678.25,53.984614,0
204.0,100678.25,53.984614,0
205.0,100678.0,54.005535,0
206.0,100677.75,54.026457,0
207.0,100676.75,54.110145,0
208.0,100674.0,54.340291,0
209.0,100667.75,54.863369,0
210.0,100657.25,55.742198,0
211.0,100645.75,56.70481,0
212.0,100635.75,57.541937,0
213.0,100628.0,58.190756,0
214.0,100621.5,58.734959,0
215.0,100617.25,59.090799,0
216.0,100613.75,59.383852,0
217.0,100612.0,59.530382,0
218.0,100610.25,59.676915,0
219.0,100609.0,59.781582,0
220.0,100608.5,59.823449,0
221.0,100607.75,59.88625,0
222.0,100607.5,59.907183,0
223.0,100606.75,59.969985,0
224.0,100607.0,59.949051,0
225.0,100606.25,60.011853,0
226.0,100606.0,60.032787,0
227.0,100605.75,60.053721,0
228.0,100607.75,59.88625,0
229.0,100612.75,59.467584,0
230.0,100622.75,58.630302,0
231.0,100635.0,57.604724,0
232.0,100650.5,56.307199,0
233.0,100668.5,54.800598,0
234.0,100686.25,53.315136,0
235.0,100701.25,52.059981,0
236.0,100713.0,51.076882,0
237.0,100721.0,50.407591,0
238.0,100728.0,49.821997,0
239.0,100733.0,49.403736,0
240.0,100736.0,49.152787,0
241.0,100739.25,48.880933,0
242.0,100741.25,48.713642,0
243.0,100743.0,48.567264,0
244.0,100744.0,48.48362,0
245.0,100745.5,48.358156,0
246.0,100745.75,48.337246,0
247.0,100746.0,48.316335,0
248.0,100746.25,48.295425,0
249.0,100748.0,48.149053,0
250.0,100751.5,47.856315,0
251.0,100757.25,47.375407,0
252.0,100763.0,46.894521,0
253.0,100767.0,46.560005,0
254.0,100771.25,46.204593,0
255.0,100774.0,45.974627,0
256.0,100776.0,45.807382,0
257.0,100777.75,45.661046,0
258.0,100778.25,45.619235,0
259.0,100779.25,45.535616,0
260.0,100780.0,45.472901,0
261.0,100779.5,45.514711,0
262.0,100780.5,45.431092,0
263.0,100780.0,45.472901,0
264.0,100780.25,45.451996,0
265.0,100780.25,45.451996,0
266.0,100782.0,45.305664,0
267.0,100784.5,45.096622,0
268.0,100792.75,44.406814,0
269.0,100802.5,43.591644,0
270.0,100811.5,42.839236,0
271.0,100820.5,42.086883,0
272.0,100826.75,41.564447,0
273.0,100832.5,41.08383,0
274.0,100836.0,40.791291,0
275.0,100838.25,40.603234,0
276.0,100840.0,40.45697,0
277.0,100841.5,40.331603,0
278.0,100843.25,40.185343,0
279.0,100844.0,40.122661,0
280.0,100844.5,40.080873,0
281.0,100845.25,40.018191,0
282.0,100846.5,39.913723,0
283.0,100847.5,39.830149,0
284.0,100847.75,39.809256,0
285.0,100849.25,39.683896,0
286.0,100851.5,39.49586,0
287.0,100857.25,39.015338,0
288.0,100863.25,38.513947,0
289.0,100869.0,38.03347,0
290.0,100872.5,37.741017,0
291.0,100875.5,37.490349,0
292.0,100877.0,37.365018,0
293.0,100878.25,37.260576,0
294.0,100880.25,37.093471,0
295.0,100881.25,37.00992,0
296.0,100881.25,37.00992,0
297.0,100881.75,36.968144,0
298.0,100882.75,36.884594,0
299.0,100883.5,36.821931,0
300.0,100883.25,36.842819,0
301.0,100883.75,36.801044,0
302.0,100884.25,36.759269,0
303.0,100885.25,36.675721,0
304.0,100885.25,36.675721,0
305.0,100884.5,36.738382,0
306.0,100879.25,37.177023,0
307.0,100872.5,37.741017,0
308.0,100867.25,38.1797,0
309.0,100862.0,38.618401,0
310.0,100858.0,38.952662,0
311.0,100855.25,39.182473,0
312.0,100852.5,39.412289,0
313.0,100850.75,39.558538,0
314.0,100850.5,39.579431,0
315.0,100849.0,39.704789,0
316.0,100848.0,39.788362,0
317.0,100847.25,39.851042,0
318.0,100846.5,39.913723,0
319.0,100846.75,39.892829,0
320.0,100847.25,39.851042,0
321.0,100846.25,39.934617,0
322.0,100846.0,39.95551,0
323.0,100841.25,40.352498,0
324.0,100833.25,41.021142,0
325.0,100823.0,41.877905,0
326.0,100810.5,42.922834,0
327.0,100797.5,44.009672,0
328.0,100784.75,45.075718,0
329.0,100776.25,45.786477,0
330.0,100768.5,46.434564,0
331.0,100761.75,46.99906,0
332.0,100758.25,47.291773,0
333.0,100755.5,47.521768,0
334.0,100754.0,47.647222,0
335.0,100753.0,47.730859,0
336.0,100751.25,47.877225,0
337.0,100750.75,47.919044,0
338.0,100750.0,47.981773,0
339.0,100749.75,48.002683,0
340.0,100748.75,48.086323,0
341.0,100749.0,48.065413,0
342.0,100748.5,48.107233,0
343.0,100746.0,48.316335,0
344.0,100740.5,48.776376,0
345.0,100731.25,49.550126,0
346.0,100720.25,50.470336,0
347.0,100709.5,51.36971,0
348.0,100701.5,52.039063,0
349.0,100695.5,52.541106,0
350.0,100690.5,52.959493,0
351.0,100686.75,53.273295,0
352.0,100684.25,53.482501,0
353.0,100682.5,53.628948,0
354.0,100682.0,53.670791,0
355.0,100680.75,53.775397,0
356.0,100680.25,53.81724,0
